loadstep,alpha,gamma,blend,u_rmse,F_rmse,J_rmse,I1_rmse,I2_rmse,I3_rmse,mean_F_rmse
20,1e-10,10.0,0.75,0.0003711710988546502,0.019928565661926665,0.03290993241440846,0.06444447355330285,0.1473186844532136,0.08582234652920484,0.02204948693685556
30,1e-10,10.0,0.75,0.0003748822475923768,0.020573589655990036,0.04273473098649984,0.07957269911922313,0.19438014370055356,0.13913566516145853,0.02204948693685556
40,1e-10,10.0,0.75,0.0005121256163513038,0.02812493642225868,0.06899138428724734,0.2449144205640992,0.40696993866793285,0.3204703845347558,0.02204948693685556
10,1e-10,10.0,1.0,0.00029707196216301976,0.008873038442385841,0.014110742711697283,0.028568452144000906,0.06065888485780234,0.03235546353892032,0.01501374352066798
20,1e-10,10.0,1.0,0.00030976107403382885,0.010174233598577932,0.01980752995612687,0.03482243803105923,0.0830434945437853,0.05490635882374489,0.01501374352066798
30,1e-10,10.0,1.0,0.0003233778625823467,0.012588355779857332,0.03674273987140828,0.06426850021907891,0.16742287526254707,0.13935215900021364,0.01501374352066798
40,1e-10,10.0,1.0,0.0005662378474301879,0.028419346261850813,0.07710173508873715,0.31365224520427654,0.5268514899223101,0.4160072074318015,0.01501374352066798
10,1e-10,30.0,0.25,0.0007862691567904883,0.054624087753858505,0.08361862263041826,0.16759078204458672,0.36017931434981343,0.19327783376892557,0.054378361857122894
20,1e-10,30.0,0.25,0.0007780651268117756,0.05444211502239727,0.0880186908170947,0.17579797103082545,0.40107279377983274,0.22785770308712439,0.054378361857122894
30,1e-10,30.0,0.25,0.0007723990906494649,0.053877305179273395,0.09374164551589918,0.18831294080651476,0.44430695653425745,0.26677584593032244,0.054378361857122894
40,1e-10,30.0,0.25,0.0007847252298634179,0.0545699394729624,0.10578025824919658,0.21359180083817286,0.5033411925591634,0.3338639454925233,0.054378361857122894
10,1e-10,30.0,0.5,0.0006021946612583052,0.03834380200768805,0.05900981608446759,0.11729880674161067,0.2527914981469634,0.13594735059182642,0.038290632406977436
20,1e-10,30.0,0.5,0.000586514887657014,0.0377998436219993,0.06131342668795191,0.12214017497028848,0.27854601428419146,0.15835449965052706,0.038290632406977436
