method,loadstep,alpha,gamma,blend,u_rmse,F_rmse,J_rmse,I1_rmse,I2_rmse,I3_rmse,J_min,J_nonpositive_count,mean_F_rmse
krr,40,1e-10,0.1,1.0,0.001391619324171568,0.027437684108081666,0.03497428562361783,0.0752780149821018,0.14984739790040016,0.07522225761719868,0.9320138201495982,0,0.023993527865257103
krr,50,1e-10,0.1,1.0,0.001758259118497797,0.03394847467269497,0.04400969172421617,0.0971430185327518,0.19222380061764632,0.09637837125467852,0.916732846076409,0,0.023993527865257103
krr,60,1e-10,0.1,1.0,0.0021250310061996843,0.040360843022673565,0.05323877252876711,0.12085190770772511,0.23737151880817908,0.11878639772883663,0.9037636108767443,0,0.023993527865257103
krr,10,1e-10,1.0,0.25,3.024601721182739e-05,0.0010986713975755593,0.001315589970584346,0.0026729201178516317,0.005361178747660766,0.0026901023364720345,0.9739591989848602,0,0.0033127070636438972
krr,20,1e-10,1.0,0.25,6.108478557574492e-05,0.0020152772516666972,0.0023723896197424643,0.004838064661929924,0.009756474104911017,0.004934141754070095,0.9610667964815395,0,0.0033127070636438972
krr,30,1e-10,1.0,0.25,9.224958392115357e-05,0.0029151077056208674,0.0034215773605888278,0.007058214318576262,0.014239681541358927,0.007237216720556439,0.9563433452023395,0,0.0033127070636438972
krr,40,1e-10,1.0,0.25,0.00012304317630770068,0.003787049603137448,0.004434342521580467,0.009397132445640412,0.018828242199421676,0.009574358586425856,0.9499343731766379,0,0.0033127070636438972
krr,50,1e-10,1.0,0.25,0.00015315440685706376,0.004623548542204957,0.005442041142223458,0.011946461596321395,0.023660438225541425,0.012009235528866463,0.941991509664139,0,0.0033127070636438972
krr,60,1e-10,1.0,0.25,0.00018282385223025065,0.005436587881657856,0.00646105969775515,0.014939165594382525,0.029070209121883978,0.014647401022084337,0.9285834679492142,0,0.0033127070636438972
krr,10,1e-10,1.0,0.5,6.049203442365479e-05,0.0021973427951511152,0.0026307966581612073,0.005347085044788544,0.010720640770125411,0.005376947488955492,0.9819365641073049,0,0.006625414127287795
krr,20,1e-10,1.0,0.5,0.00012216957115148992,0.004030554503333419,0.004743344303976004,0.0096957332783946,0.019534494869906473,0.009868271000567436,0.9727277300579984,0,0.006625414127287795
krr,30,1e-10,1.0,0.5,0.00018449916784230727,0.005830215411241741,0.00684126012239793,0.01416822234187997,0.028553403847930765,0.014489491561006165,0.9689282429902272,0,0.006625414127287795
krr,40,1e-10,1.0,0.5,0.00024608635261540125,0.00757409920627486,0.008866531438985675,0.01888084020114904,0.03780132247062302,0.019186597930430274,0.9633443459797001,0,0.006625414127287795
krr,50,1e-10,1.0,0.5,0.00030630881371412736,0.009247097084409916,0.010883176346587137,0.024019591574753755,0.04757552742540939,0.024102464031225235,0.957556648755408,0,0.006625414127287795
krr,60,1e-10,1.0,0.5,0.00036564770446050125,0.010873175763315724,0.012924306990148942,0.030021537401879968,0.058502673238346396,0.029435948041193538,0.9498383014279381,0,0.006625414127287795
krr,10,1e-10,1.0,0.75,9.07380516354822e-05,0.003296014192726669,0.003945629084052014,0.008022841534701996,0.016078891221117785,0.008060774371500047,0.9893378291110133,0,0.009938121190931693
krr,20,1e-10,1.0,0.75,0.00018325435672723485,0.006045831755000125,0.00711292683873475,0.014574189529474738,0.029335701849231472,0.014803264422955034,0.9830875657988056,0,0.009938121190931693
krr,30,1e-10,1.0,0.75,0.00027674875176346084,0.008745323116862595,0.010259233314614521,0.021332953470563232,0.04294465888624954,0.02175868450120648,0.9760965939211359,0,0.009938121190931693
krr,40,1e-10,1.0,0.75,0.0003691295289231019,0.011361148809412277,0.013296987263032708,0.028457202064255026,0.05692554770928116,0.02884014610850262,0.9695119219063535,0,0.009938121190931693
krr,50,1e-10,1.0,0.75,0.00045946322057119105,0.013870645626614908,0.01632417428310323,0.03623001382372754,0.07175469613465937,0.0362848011109035,0.9629366777856837,0,0.009938121190931693
krr,60,1e-10,1.0,0.75,0.0005484715566907519,0.01630976364497359,0.019390952942004342,0.0452641888997121,0.08831228007415375,0.04437399359525361,0.9583330295049772,0,0.009938121190931693
krr,10,1e-10,1.0,1.0,0.0001209840688473096,0.004394685590302223,0.005260096274754476,0.010700535958847287,0.021436432615482552,0.010741819697816412,0.991070967083461,0,0.013250828254575589
krr,20,1e-10,1.0,1.0,0.0002443391423029798,0.008061109006666832,0.009481200083854372,0.019474607179212317,0.03916171068709735,0.0197399822404898,0.9819467283790242,0,0.013250828254575589
krr,30,1e-10,1.0,1.0,0.00036899833568461443,0.011660430822483466,0.013675682158142584,0.02855529299567891,0.05741687171632538,0.029046619674661357,0.9736135704800467,0,0.013250828254575589
krr,40,1e-10,1.0,1.0,0.0004921727052308026,0.015148198412549689,0.017726130860049042,0.03813218125419944,0.07620708081185767,0.038538368498270664,0.9657765912945936,0,0.013250828254575589
krr,50,1e-10,1.0,1.0,0.0006126176274282547,0.01849419416881985,0.02176580373295447,0.04858811827290966,0.09620715468810696,0.04856132101672805,0.9586221670448143,0,0.013250828254575589
krr,60,1e-10,1.0,1.0,0.0007312954089210026,0.021746351526631465,0.02586220749616591,0.060683845616655026,0.1185135854960311,0.05946986181240053,0.9526645337853787,0,0.013250828254575589
krr,10,1e-10,10.0,0.25,7.60173803102204e-06,0.0006539979153651145,0.0008404186726099901,0.0017595411893775422,0.0034963598267204335,0.0017377706615482507,0.9702236525932464,0,0.0015886497637003895
krr,20,1e-10,10.0,0.25,1.3723820998800425e-05,0.0010338800082382923,0.001318808020779635,0.0028350277768769377,0.005621714828697321,0.0027928815920766807,0.9558432945905387,0,0.0015886497637003895
krr,30,1e-10,10.0,0.25,2.0227693380426715e-05,0.001394431099618529,0.0017665463573740816,0.003906529476638088,0.007695437601462599,0.0038094526702501454,0.9495239779535289,0,0.0015886497637003895
krr,40,1e-10,10.0,0.25,2.7356641324010716e-05,0.0017756605506613278,0.002241282135206897,0.005160591368640713,0.010053016023698486,0.0049455171029553985,0.9412850226800462,0,0.0015886497637003895
krr,50,1e-10,10.0,0.25,3.446241524358949e-05,0.002143546715146617,0.0026996429195709185,0.006489455616928131,0.012454993655345874,0.0060763793552229585,0.9323593212187546,0,0.0015886497637003895
krr,60,1e-10,10.0,0.25,4.18333939690343e-05,0.0025303822931724567,0.0032003883673438994,0.008232790539810953,0.01545414855292343,0.007406009081120101,0.9173682248347093,0,0.0015886497637003895
krr,10,1e-10,10.0,0.5,1.5203476062044134e-05,0.0013079958307302248,0.0016808830561817773,0.0035106165576216973,0.0069783626137639955,0.0034694531117663544,0.9744500492960236,0,0.0031772995274007916
krr,20,1e-10,10.0,0.5,2.7447641997600945e-05,0.002067760016476631,0.002637299158592854,0.0056557194373768474,0.011217767305112218,0.005573981580141692,0.9622382699482892,0,0.0031772995274007916
krr,30,1e-10,10.0,0.5,4.0455386760853546e-05,0.002788862199237063,0.0035326758314485995,0.007795165924332447,0.015360616085065755,0.007605365542816193,0.9552230481148442,0,0.0031772995274007916
krr,40,1e-10,10.0,0.5,5.471328264802136e-05,0.0035513211013226717,0.004482000276220853,0.010295413407826696,0.02006625784418216,0.00987388153829482,0.9466726924035955,0,0.0031772995274007916
krr,50,1e-10,10.0,0.5,6.892483048717907e-05,0.00428709343029322,0.005399505269213301,0.012951959532665399,0.024879617042585705,0.012142743149667318,0.9391302174858946,0,0.0031772995274007916
krr,60,1e-10,10.0,0.5,8.366678793806826e-05,0.005060764586344939,0.006402049381651133,0.016417461665364882,0.030861076301467612,0.014801622991747943,0.9268450514630191,0,0.0031772995274007916
krr,10,1e-10,10.0,0.75,2.2805214093066222e-05,0.001961993746095339,0.0025213943325737196,0.005253521033254108,0.010446394119286027,0.0051951816287371475,0.9786789880021641,0,0.004765949291101187
krr,20,1e-10,10.0,0.75,4.117146299640139e-05,0.003101640024714945,0.003955480210036009,0.00846270858659062,0.01678910880461355,0.008343720600767346,0.9686463650615206,0,0.004765949291101187
krr,30,1e-10,10.0,0.75,6.0683080141280204e-05,0.004183293298855595,0.005298406078532286,0.011666934363470738,0.022997069279327598,0.011388447928692076,0.95961252265067,0,0.004765949291101187
krr,40,1e-10,10.0,0.75,8.206992397203205e-05,0.005326981651983979,0.006722195196004198,0.01540606611812177,0.030041974182949387,0.014786137706569261,0.9497653892776026,0,0.004765949291101187
krr,50,1e-10,10.0,0.75,0.00010338724573076857,0.006430640145439891,0.008099659260316057,0.019389788117382258,0.03727657710244347,0.01820021393665666,0.9418839787793442,0,0.004765949291101187
krr,60,1e-10,10.0,0.75,0.0001255001819071025,0.007591146879517374,0.009605087337011197,0.02455762863578274,0.04622468351947076,0.0221881880818893,0.9361387433490199,0,0.004765949291101187
krr,10,1e-10,10.0,1.0,3.040695212408826e-05,0.0026159916614604465,0.0033619536835134112,0.006988552336589519,0.013900843081003724,0.0069150911908097525,0.9823289242503975,0,0.006354599054801583
krr,20,1e-10,10.0,1.0,5.489528399520182e-05,0.004135520032953254,0.005273357974926237,0.011256635094928994,0.02233669405942465,0.011102517338907368,0.9714399574785553,0,0.006354599054801583
krr,30,1e-10,10.0,1.0,8.091077352170693e-05,0.0055777243984741435,0.007063754763034815,0.015522868905688162,0.030606332739244388,0.01515940359696117,0.9605691310986747,0,0.006354599054801583
krr,40,1e-10,10.0,1.0,0.00010942656529604277,0.007102642202645307,0.008961907687057468,0.020494164928594034,0.03998241369340282,0.019683318193619896,0.9496283295374276,0,0.006354599054801583
krr,50,1e-10,10.0,1.0,0.00013784966097435804,0.008574186860586516,0.010800177089955745,0.02580523569031741,0.04964858483327969,0.024249907592866035,0.9406941148035551,0,0.006354599054801583
krr,60,1e-10,10.0,1.0,0.00016733357587613677,0.010121529172689837,0.012809606440091114,0.03265694719182783,0.061548901419966995,0.029567056653841507,0.9343906129073883,0,0.006354599054801583
krr,10,1e-10,30.0,0.25,3.848316151218168e-06,0.0005232147115744354,0.000724549813399112,0.001524127229768792,0.0030187013200532486,0.0014951745775103038,0.9691156219896455,0,0.0011096751004663762
krr,20,1e-10,30.0,0.25,5.8186611540484225e-06,0.0007788954857928784,0.0010853480797676396,0.0023674105646940688,0.004661261967505288,0.002296898147555166,0.9548303970182758,0,0.0011096751004663762
krr,30,1e-10,30.0,0.25,7.85975113242397e-06,0.0010034584839690008,0.001386218806765755,0.0031395219984597772,0.0061206135093950925,0.002990369556045852,0.9484362345884565,0,0.0011096751004663762
krr,40,1e-10,30.0,0.25,9.984757157457137e-06,0.0012270871200100867,0.0016865065916394062,0.003986345909341296,0.007690779066896918,0.0037291732622752793,0.9404752268688129,0,0.0011096751004663762
krr,50,1e-10,30.0,0.25,1.2072091279132037e-05,0.0014359425430317215,0.00196912974285347,0.004882044930960474,0.009286673834853694,0.004454751429685593,0.9300218643850644,0,0.0011096751004663762
krr,60,1e-10,30.0,0.25,1.4594804679364687e-05,0.0016894522584201344,0.002286634795331351,0.006148927069283226,0.011409760207856143,0.005342122595770737,0.9180019387082247,0,0.0011096751004663762
krr,10,1e-10,30.0,0.5,7.696632302436364e-06,0.0010464294231488766,0.0014492578899837352,0.0030414882148475345,0.006027005190958569,0.0029865642086569894,0.9722299233786464,0,0.0022193502009327432
krr,20,1e-10,30.0,0.5,1.1637322308096876e-05,0.0015577909715857614,0.0021707049900655828,0.004722627653300742,0.009302594335887645,0.004585791040525444,0.960208159647712,0,0.0022193502009327432
