method,loadstep,lambda_smooth,blend,u_rmse,F_rmse,J_rmse,I1_rmse,I2_rmse,I3_rmse,J_min,J_nonpositive_count,mean_F_rmse
mesh-laplacian,10,1e-06,1.0,2.0820983625306795e-10,5.6767076706658954e-08,5.838155165491141e-08,1.1793582946987797e-07,2.377233746417894e-07,1.1999642194385e-07,0.9660000031478722,0,1.4988813641452997e-07
mesh-laplacian,20,1e-06,1.0,3.615882811863803e-10,9.698410133668945e-08,1.0334163183910048e-07,2.1068296830040958e-07,4.279786774620252e-07,2.1854074670915645e-07,0.9494616784768395,0,1.4988813641452997e-07
mesh-laplacian,30,1e-06,1.0,5.047936180011337e-10,1.3355193984542662e-07,1.4518082708364868e-07,2.985962992315697e-07,6.093879693404577e-07,3.1465905270094283e-07,0.9438327306316324,0,1.4988813641452997e-07
mesh-laplacian,40,1e-06,1.0,6.430577435924711e-10,1.690921982008116e-07,1.8556548111387686e-07,3.905465183127534e-07,7.945221030703639e-07,4.1349302282543465e-07,0.9359048190827456,0,1.4988813641452997e-07
mesh-laplacian,50,1e-06,1.0,7.737188286226737e-10,2.0478100770331383e-07,2.30602964346902e-07,4.935977308076779e-07,1.0039296778528703e-06,5.295603429207741e-07,0.9255564277497743,0,1.4988813641452997e-07
mesh-laplacian,60,1e-06,1.0,8.950520047846193e-10,2.3815249469427936e-07,2.716366712356312e-07,6.153420448735794e-07,1.2269379956435036e-06,6.457741894592389e-07,0.9078491006203626,0,1.4988813641452997e-07
mesh-laplacian,10,1e-05,0.25,5.204529464366305e-10,1.41891236044873e-07,1.4592291922890105e-07,2.9477673176192265e-07,5.941818590079844e-07,2.9992722381502495e-07,0.9660003109369589,0,3.7465039926638143e-07
mesh-laplacian,20,1e-05,0.25,9.038484839491519e-10,2.424151974632225e-07,2.5829867201937924e-07,5.265937102239389e-07,1.0697156981129795e-06,5.462340971614531e-07,0.9494620375724948,0,3.7465039926638143e-07
mesh-laplacian,30,1e-05,0.25,1.2618152154744716e-09,3.3381801998036315e-07,3.6287387683907465e-07,7.463286630558817e-07,1.5231385996130416e-06,7.864769827227618e-07,0.9438329182894774,0,3.7465039926638143e-07
mesh-laplacian,40,1e-05,0.25,1.6074292648120543e-09,4.2265216764880253e-07,4.638134335828563e-07,9.761533491761815e-07,1.985870262228839e-06,1.0335072505126845e-06,0.9359049774513464,0,3.7465039926638143e-07
mesh-laplacian,50,1e-05,0.25,1.9340356438772107e-09,5.118568706424347e-07,5.763819371180662e-07,1.2337236106173655e-06,2.50926892100583e-06,1.3236100493645397e-06,0.9255569325778452,0,3.7465039926638143e-07
mesh-laplacian,60,1e-05,0.25,2.237323567634107e-09,5.952689038185927e-07,6.789431714707646e-07,1.5380174023205183e-06,3.0666610721177994e-06,1.6140785463763194e-06,0.9078497668805158,0,3.7465039926638143e-07
mesh-laplacian,10,1e-05,0.5,1.0409058928727436e-09,2.8378247207042405e-07,2.918458593310639e-07,5.895535681050707e-07,1.1883639495501415e-06,5.998545278851918e-07,0.9660008239800976,0,7.493007985478078e-07
mesh-laplacian,20,1e-05,0.5,1.807696967944558e-09,4.848303949906063e-07,5.16597413907557e-07,1.05318774805091e-06,2.139432384159237e-06,1.0924686424078164e-06,0.9494626361561076,0,7.493007985478078e-07
mesh-laplacian,30,1e-05,0.5,2.5236304309596643e-09,6.676360399137862e-07,7.257478916344185e-07,1.4926576789822596e-06,3.0462792314396983e-06,1.5729550525077264e-06,0.9438332311302612,0,7.493007985478078e-07
mesh-laplacian,40,1e-05,0.5,3.2148585295179006e-09,8.4530433520447e-07,9.276271227891097e-07,1.952306574316572e-06,3.97174398130011e-06,2.067016730543084e-06,0.9359052414938664,0,7.493007985478078e-07
mesh-laplacian,50,1e-05,0.5,3.868071287846183e-09,1.023713741331153e-06,1.1527642721678008e-06,2.4674464042109134e-06,5.018543707600666e-06,2.6472241650697597e-06,0.9255577740244432,0,7.493007985478078e-07
mesh-laplacian,60,1e-05,0.5,4.474647135280084e-09,1.1905378077764066e-06,1.3578869416007218e-06,3.076030599573174e-06,6.133328481404769e-06,3.2281631202754694e-06,0.9078508774011861,0,7.493007985478078e-07
mesh-laplacian,10,1e-05,0.75,1.5613588393047171e-09,4.256737081142536e-07,4.377688203449497e-07,8.843305091143636e-07,1.782546271788989e-06,8.997819123065432e-07,0.966001337023249,0,1.1239511978772778e-06
mesh-laplacian,20,1e-05,0.75,2.711545451980194e-09,7.27245592524592e-07,7.748962256808738e-07,1.5797821135552673e-06,3.209150058244853e-06,1.63870363578296e-06,0.9494632347391072,0,1.1239511978772778e-06
mesh-laplacian,30,1e-05,0.75,3.785445646500295e-09,1.0014540599384479e-06,1.088622044546082e-06,2.2389870482121463e-06,4.569421896240992e-06,2.3594342097007903e-06,0.9438335439696272,0,1.1239511978772778e-06
mesh-laplacian,40,1e-05,0.75,4.822287794490429e-09,1.267956502912836e-06,1.3914410680890776e-06,2.9284596765475406e-06,5.9576211593413235e-06,3.100528441175213e-06,0.9359055055340358,0,1.1239511978772778e-06
mesh-laplacian,50,1e-05,0.75,5.802106931916427e-09,1.53557061213674e-06,1.729147005103267e-06,3.7011683811122715e-06,7.527824359974416e-06,3.970842347061232e-06,0.9255586154709939,0,1.1239511978772778e-06
mesh-laplacian,60,1e-05,0.75,6.711970702880503e-09,1.7858067116367983e-06,2.0368313101435352e-06,4.614039591250853e-06,9.20000222676058e-06,4.842253721132441e-06,0.9078519879218319,0,1.1239511978772778e-06
mesh-laplacian,10,1e-05,1.0,2.081811785753164e-09,5.675649441437543e-07,5.836918022412394e-07,1.1791075547265005e-06,2.3767288255887115e-06,1.1997093769980683e-06,0.9660018500664135,0,1.4986015971482955e-06
